date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:28	77080/77080	U-----	200	untouched ('')	application/octet-stream	etag:%22599b5b94-12d18%22	https://nest.com/fonts/lineto_akkurat_pro/book.ttf	nest.com/fonts/lineto_akkurat_pro/book.ttf	(from https://nest.com/)
12:38:55	35989/35989	U-----	200	untouched ('')	application/font-woff	etag:%22599b5b94-8c95%22	https://nest.com/fonts/lineto_akkurat_pro/book_italic.woff	nest.com/fonts/lineto_akkurat_pro/book_italic.woff	(from https://nest.com/)
12:38:57	98048/98048	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22599b5b94-17f00%22	https://nest.com/fonts/lineto_akkurat_pro/book_italic.svg	nest.com/fonts/lineto_akkurat_pro/book_italic.svg	(from https://nest.com/)
12:38:58	54520/54520	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:W/%22599b5b94-d4f8%22	https://nest.com/fonts/lineto_akkurat_pro/book_italic.eot	nest.com/fonts/lineto_akkurat_pro/book_italic.eot	(from https://nest.com/)
12:38:58	75180/75180	U-----	200	untouched ('')	application/octet-stream	etag:%22599b5b94-125ac%22	https://nest.com/fonts/lineto_akkurat_pro/book_italic.ttf	nest.com/fonts/lineto_akkurat_pro/book_italic.ttf	(from https://nest.com/)
12:39:26	35553/35553	U-----	200	untouched ('')	application/font-woff	etag:%22599b5b94-8ae1%22	https://nest.com/fonts/lineto_akkurat_pro/medium.woff	nest.com/fonts/lineto_akkurat_pro/medium.woff	(from https://nest.com/)
12:39:27	104231/104231	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22599b5b94-19727%22	https://nest.com/fonts/lineto_akkurat_pro/medium.svg	nest.com/fonts/lineto_akkurat_pro/medium.svg	(from https://nest.com/)
12:39:28	53508/53508	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:W/%22599b5b94-d104%22	https://nest.com/fonts/lineto_akkurat_pro/medium.eot	nest.com/fonts/lineto_akkurat_pro/medium.eot	(from https://nest.com/)
12:39:28	76784/76784	U-----	200	untouched ('')	application/octet-stream	etag:%22599b5b94-12bf0%22	https://nest.com/fonts/lineto_akkurat_pro/medium.ttf	nest.com/fonts/lineto_akkurat_pro/medium.ttf	(from https://nest.com/)
12:39:55	36605/36605	U-----	200	untouched ('')	application/font-woff	etag:%22599b5b94-8efd%22	https://nest.com/fonts/lineto_akkurat_pro/medium_italic.woff	nest.com/fonts/lineto_akkurat_pro/medium_italic.woff	(from https://nest.com/)
12:39:57	99247/99247	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22599b5b94-183af%22	https://nest.com/fonts/lineto_akkurat_pro/medium_italic.svg	nest.com/fonts/lineto_akkurat_pro/medium_italic.svg	(from https://nest.com/)
12:39:58	53972/53972	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:W/%22599b5b94-d2d4%22	https://nest.com/fonts/lineto_akkurat_pro/medium_italic.eot	nest.com/fonts/lineto_akkurat_pro/medium_italic.eot	(from https://nest.com/)
12:39:59	75544/75544	U-----	200	untouched ('')	application/octet-stream	etag:%22599b5b94-12718%22	https://nest.com/fonts/lineto_akkurat_pro/medium_italic.ttf	nest.com/fonts/lineto_akkurat_pro/medium_italic.ttf	(from https://nest.com/)
12:40:25	43701/43701	U-----	200	untouched ('')	application/font-woff	etag:%22599b5b94-aab5%22	https://nest.com/fonts/lineto_akkurat_pro/bold.woff	nest.com/fonts/lineto_akkurat_pro/bold.woff	(from https://nest.com/)
12:40:27	110951/110951	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22599b5b94-1b167%22	https://nest.com/fonts/lineto_akkurat_pro/bold.svg	nest.com/fonts/lineto_akkurat_pro/bold.svg	(from https://nest.com/)
12:40:28	71988/71988	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:W/%22599b5b94-11934%22	https://nest.com/fonts/lineto_akkurat_pro/bold.eot	nest.com/fonts/lineto_akkurat_pro/bold.eot	(from https://nest.com/)
12:40:29	101944/101944	U-----	200	untouched ('')	application/octet-stream	etag:%22599b5b94-18e38%22	https://nest.com/fonts/lineto_akkurat_pro/bold.ttf	nest.com/fonts/lineto_akkurat_pro/bold.ttf	(from https://nest.com/)
12:40:55	45145/45145	U-----	200	untouched ('')	application/font-woff	etag:%22599b5b94-b059%22	https://nest.com/fonts/lineto_akkurat_pro/bold_italic.woff	nest.com/fonts/lineto_akkurat_pro/bold_italic.woff	(from https://nest.com/)
12:40:55	19318/19318	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:40:55%20GMT	http://nest.com/widget/compatibility/	nest.com/widget/compatibility/index.html	(from https://nest.com/)
12:40:56	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:40:56%20GMT	http://nest.com/widget/in-your-home/	nest.com/widget/in-your-home/index.html	(from https://nest.com/)
12:40:57	116521/116521	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22599b5b94-1c729%22	https://nest.com/fonts/lineto_akkurat_pro/bold_italic.svg	nest.com/fonts/lineto_akkurat_pro/bold_italic.svg	(from https://nest.com/)
12:40:57	20123/20123	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:40:57%20GMT	http://nest.com/widget/pro-finder/	nest.com/widget/pro-finder/index.html	(from https://nest.com/)
12:40:57	69840/69840	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:W/%22599b5b94-110d0%22	https://nest.com/fonts/lineto_akkurat_pro/bold_italic.eot	nest.com/fonts/lineto_akkurat_pro/bold_italic.eot	(from https://nest.com/)
12:40:58	19105/19105	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:40:58%20GMT	http://nest.com/widget/utility/	nest.com/widget/utility/index.html	(from https://nest.com/)
12:40:58	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:40:58%20GMT	http://nest.com/widget/troubleshooting/	nest.com/widget/troubleshooting/index.html	(from https://nest.com/)
12:40:58	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:40:58%20GMT	http://nest.com/widget/status/	nest.com/widget/status/index.html	(from https://nest.com/)
12:40:59	100288/100288	U-----	200	untouched ('')	application/octet-stream	etag:%22599b5b94-187c0%22	https://nest.com/fonts/lineto_akkurat_pro/bold_italic.ttf	nest.com/fonts/lineto_akkurat_pro/bold_italic.ttf	(from https://nest.com/)
12:40:59	378/378	U--M--	200	updated ('OK')	text/plain	etag:%22597984a0-17a%22	http://nest.com/robots.txt		(from https://nest.com/)
12:40:59	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:40:59%20GMT	http://nest.com/coming-soon/	nest.com/coming-soon/index.html	(from https://nest.com/)
12:40:59	22910/22910	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:40:59%20GMT	http://nest.com/widget/rebates/	nest.com/widget/rebates/index.html	(from https://nest.com/)
12:41:00	19834/19834	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:40:59%20GMT	http://nest.com/widget/calculator/	nest.com/widget/calculator/index.html	(from https://nest.com/)
12:41:00	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:41:00%20GMT	http://nest.com/modal/be-the-first-wwn/	nest.com/modal/be-the-first-wwn/index.html	(from https://nest.com/)
12:41:00	19834/19834	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:41:00%20GMT	http://nest.com/widget/calculator/?saving-energy	nest.com/widget/calculator/index48f7.html	(from https://nest.com/)
12:41:00	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:41:00%20GMT	http://nest.com/modal/be-the-first/	nest.com/modal/be-the-first/index.html	(from https://nest.com/)
12:41:03	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:41:02%20GMT	http://nest.com/modal/be-the-first-announce/	nest.com/modal/be-the-first-announce/index.html	(from https://nest.com/)
12:41:03	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:41:02%20GMT	http://nest.com/thermostat/saving-energy/	nest.com/thermostat/saving-energy/index.html	(from https://nest.com/)
12:41:03	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:41:02%20GMT	http://nest.com/support/	nest.com/support/index.html	(from https://nest.com/)
12:41:04	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:41:03%20GMT	http://nest.com/support/article/Learn-more-about-Sound-Check/	nest.com/support/article/Learn-more-about-Sound-Check/index.html	(from https://nest.com/)
12:41:04	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:41:03%20GMT	http://nest.com/camera/meet-nest-cam-iq/	nest.com/camera/meet-nest-cam-iq/index.html	(from https://nest.com/)
12:41:04	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:41:03%20GMT	http://nest.com/thermostat/meet-nest-thermostat/	nest.com/thermostat/meet-nest-thermostat/index.html	(from https://nest.com/)
12:41:05	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:41:05%20GMT	http://nest.com/camera/meet-nest-cam-outdoor/	nest.com/camera/meet-nest-cam-outdoor/index.html	(from https://nest.com/)
12:41:05	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:41:05%20GMT	http://nest.com/smoke-co-alarm/meet-nest-protect/	nest.com/smoke-co-alarm/meet-nest-protect/index.html	(from https://nest.com/)
12:41:07	216594/216594	UR-MCZ	200	updated ('OK')	application/javascript	date:Tue,%2022%20Aug%202017%2019:41:01%20GMT	http://nest.com/nest-web-components.bundle.min.js?1503090917	nest.com/nest-web-components.bundle.min845f.js	(from http://nest.com/widget/compatibility/)
12:41:10	80369/80369	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2022%20Aug%202017%2019:41:06%20GMT	http://nest.com/api/maps?libraries=geometry,places&sensor=false	nest.com/api/maps14c3	(from http://nest.com/widget/pro-finder/)
12:41:12	216594/216594	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2022%20Aug%202017%2019:41:04%20GMT	http://nest.com/nest-web-components.bundle.min.js?1503090827	nest.com/nest-web-components.bundle.min4c67.js	(from http://nest.com/widget/pro-finder/)
