date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:24	43360/43360	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:51:24%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1403100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1403100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1403100.html?cgid=mens-pants-shorts)
17:51:25	42259/42259	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:51:25%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1420100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1420100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1420100.html?cgid=mens-pants-shorts)
17:51:26	42414/42414	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:51:26%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1468100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1468100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1468100.html?cgid=mens-pants-shorts)
17:51:27	42605/42605	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:51:27%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1460100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1460100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1460100.html?cgid=mens-pants-shorts)
17:51:28	42436/42436	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:51:27%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1470100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1470100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1470100.html?cgid=mens-pants-shorts)
17:51:29	42319/42319	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:51:29%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1411100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1411100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1411100.html?cgid=mens-pants-shorts)
17:51:33	43061/43061	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:51:29%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1424100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1424100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1424100.html?cgid=mens-pants-shorts)
17:51:34	43560/43560	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:51:33%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1440100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1440100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1440100.html?cgid=mens-pants-shorts)
17:51:34	42517/42517	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:51:34%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1444100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1444100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1444100.html?cgid=mens-pants-shorts)
17:51:35	43012/43012	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:51:35%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1450100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1450100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/1450100.html?cgid=mens-pants-shorts)
